url,born,height,weight,games,debut,last
https://afltables.com/afl/stats/players/F/Fred_Anderson0.html,1931-06-09,173,67,20,1951-05-05,1953-08-22
https://afltables.com/afl/stats/players/F/Fred_Anderson1.html,1886-03-16,168,75,1,1908-06-27,1908-06-27
https://afltables.com/afl/stats/players/G/George_Anderson0.html,1886-11-24,179,0,62,1906-07-28,1914-08-29
https://afltables.com/afl/stats/players/G/George_Anderson1.html,1885-06-03,168,80,104,1911-06-03,1917-09-22
https://afltables.com/afl/stats/players/G/Gordon_Anderson.html,1924-09-16,185,83,59,1947-06-28,1951-08-11
https://afltables.com/afl/stats/players/G/Graeme_Anderson0.html,1953-01-05,185,79,71,1975-05-31,1980-06-28
https://afltables.com/afl/stats/players/G/Graeme_Anderson1.html,1939-04-06,185,78,79,1961-06-17,1968-08-03
https://afltables.com/afl/stats/players/G/Greg_Anderson.html,1966-05-14,188,92,162,1988-04-02,1996-07-28
https://afltables.com/afl/stats/players/H/Henry_Anderson.html,1892-05-23,170,0,6,1913-05-31,1913-08-02
https://afltables.com/afl/stats/players/I/Ian_Anderson.html,1948-10-14,191,84,27,1967-05-06,1971-07-03
https://afltables.com/afl/stats/players/J/Jack_Anderson0.html,1909-03-03,185,82,42,1931-06-20,1933-09-02
https://afltables.com/afl/stats/players/J/Jack_Anderson1.html,1908-10-29,180,83,68,1932-05-28,1939-05-13
https://afltables.com/afl/stats/players/J/Jed_Anderson.html,1994-02-02,179,81,61,2013-04-01,2019-07-27
https://afltables.com/afl/stats/players/J/Jim_Anderson.html,1869-11-17,179,0,136,1897-05-08,1905-08-19
https://afltables.com/afl/stats/players/J/Joe_Anderson.html,1988-12-24,188,86,17,2007-04-22,2010-06-05
https://afltables.com/afl/stats/players/J/John_Anderson.html,1888-05-31,NA,NA,3,1907-04-27,1907-07-06
https://afltables.com/afl/stats/players/L/Lindsay_Anderson.html,1883-09-02,180,0,16,1901-06-01,1906-09-08
https://afltables.com/afl/stats/players/L/Lyall_Anderson.html,1936-10-13,178,80,24,1957-08-10,1959-08-29
https://afltables.com/afl/stats/players/N/Noel_Anderson.html,1938-09-16,183,86,13,1959-04-18,1960-08-27
https://afltables.com/afl/stats/players/R/Ramsay_Anderson.html,1888-05-02,169,0,31,1910-04-30,1912-06-22
https://afltables.com/afl/stats/players/R/Ray_Anderson.html,1947-08-26,191,81,9,1968-07-13,1969-05-03
https://afltables.com/afl/stats/players/R/Robert_Anderson.html,1959-08-19,178,78,16,1980-03-29,1984-09-01
https://afltables.com/afl/stats/players/S/Stan_Anderson.html,1893-07-22,178,77,1,1919-05-17,1919-05-17
https://afltables.com/afl/stats/players/S/Stephen_Anderson.html,1968-01-17,170,70,4,1991-04-06,1991-05-25
https://afltables.com/afl/stats/players/S/Stewart_Anderson.html,1911-06-07,180,74,34,1933-04-29,1938-05-28
https://afltables.com/afl/stats/players/S/Stuart_Anderson.html,1974-06-27,181,83,70,1994-04-30,1998-07-05
https://afltables.com/afl/stats/players/S/Syd_Anderson0.html,1884-03-12,182,79,53,1902-06-21,1907-08-03
https://afltables.com/afl/stats/players/S/Syd_Anderson1.html,1918-01-03,183,73,52,1939-06-03,1941-09-27
https://afltables.com/afl/stats/players/S/Syd_Anderson2.html,1949-03-09,191,83,4,1976-04-03,1976-07-31
https://afltables.com/afl/stats/players/T/Tony_Anderson.html,1942-01-31,183,83,75,1963-05-11,1969-04-19
https://afltables.com/afl/stats/players/B/Bruce_Andrew0.html,1936-12-28,183,76,4,1958-05-31,1958-06-21
https://afltables.com/afl/stats/players/B/Bruce_Andrew1.html,1908-02-28,174,69,62,1928-07-14,1934-09-22
https://afltables.com/afl/stats/players/G/George_Andrew.html,1917-10-05,182,73,9,1938-04-30,1938-08-13
https://afltables.com/afl/stats/players/J/Joe_Andrew.html,1889-04-17,NA,NA,2,1914-05-30,1914-06-06
https://afltables.com/afl/stats/players/R/Robin_Andrew.html,1945-05-19,188,83,1,1965-05-29,1965-05-29
https://afltables.com/afl/stats/players/A/Alf_Andrew-Street.html,1914-04-08,174,0,6,1933-05-06,1934-05-19
https://afltables.com/afl/stats/players/B/Bob_Andrews.html,1941-12-30,170,73,10,1962-06-23,1963-07-27
https://afltables.com/afl/stats/players/G/Gareth_Andrews.html,1946-12-21,191,90,167,1965-04-19,1975-09-20
https://afltables.com/afl/stats/players/G/Gordon_Andrews.html,1934-11-11,183,92,1,1956-05-26,1956-05-26
https://afltables.com/afl/stats/players/H/Harris_Andrews.html,1996-12-11,201,100,92,2015-04-18,2019-08-04
https://afltables.com/afl/stats/players/L/Len_Andrews.html,1922-11-04,180,80,31,1946-06-22,1948-07-31
https://afltables.com/afl/stats/players/M/Mike_Andrews.html,1946-01-17,183,86,80,1966-04-23,1972-09-02
https://afltables.com/afl/stats/players/N/Norm_Andrews.html,1914-04-07,175,0,4,1936-05-02,1936-06-06
https://afltables.com/afl/stats/players/R/Ron_Andrews.html,1955-05-13,191,87,157,1973-07-28,1984-09-22
https://afltables.com/afl/stats/players/D/Damien_Angove.html,1970-12-18,184,86,4,1992-06-26,1992-07-25
https://afltables.com/afl/stats/players/G/Geoff_Angus.html,1948-08-19,174,73,73,1967-07-29,1973-08-25
https://afltables.com/afl/stats/players/G/George_Angus.html,1875-04-15,180,85,157,1902-06-09,1911-08-26
https://afltables.com/afl/stats/players/L/Les_Angus.html,1905-11-08,170,73,9,1928-05-05,1928-09-22
https://afltables.com/afl/stats/players/W/Warwick_Angus.html,1969-07-14,194,92,13,1989-04-15,1991-05-17
https://afltables.com/afl/stats/players/A/Andrew_Angwin.html,1918-09-04,174,72,75,1938-05-21,1944-09-02
https://afltables.com/afl/stats/players/B/Bill_Angwin.html,1891-03-13,NA,NA,9,1913-05-03,1914-05-23
https://afltables.com/afl/stats/players/L/Laurence_Angwin.html,1982-10-07,200,97,4,2003-07-06,2003-08-31
https://afltables.com/afl/stats/players/B/Bud_Annand.html,1933-06-18,189,91,106,1956-04-14,1962-08-25
https://afltables.com/afl/stats/players/J/John_Annear.html,1961-06-17,178,80,166,1981-05-30,1990-06-01
https://afltables.com/afl/stats/players/B/Bob_Annesley.html,1919-07-10,173,67,6,1945-04-21,1945-07-07
https://afltables.com/afl/stats/players/J/Jacob_Anstey.html,1978-01-27,176,71,16,1997-05-10,1998-08-08
https://afltables.com/afl/stats/players/C/Clarrie_Answerth.html,1901-05-27,179,84,18,1928-04-21,1929-06-03
https://afltables.com/afl/stats/players/N/Noah_Answerth.html,1999-08-06,182,82,14,2019-04-27,2019-08-04
https://afltables.com/afl/stats/players/G/George_Anthony.html,1904-04-17,NA,NA,15,1926-06-26,1927-06-11
https://afltables.com/afl/stats/players/J/John_Anthony0.html,1953-10-27,191,81,3,1972-04-01,1972-07-29
https://afltables.com/afl/stats/players/J/John_Anthony1.html,1988-01-19,192,92,51,2008-04-06,2012-06-02
https://afltables.com/afl/stats/players/L/Liam_Anthony.html,1987-09-09,189,86,58,2009-06-28,2014-07-04
https://afltables.com/afl/stats/players/M/Mick_Anthony.html,1894-08-08,174,0,54,1920-05-01,1926-05-08
https://afltables.com/afl/stats/players/A/Alan_Anton.html,1933-01-01,180,80,2,1955-04-23,1955-04-30
https://afltables.com/afl/stats/players/C/Colin_Antonie.html,1952-03-26,188,80,17,1969-06-21,1971-05-08
